行政區,路名,段、號及其他註明,經度,緯度,備註
松山區,敦化北路,131號(公車南京敦化路口(小巨蛋)站),121.549314,25.052612,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,敦化北路,153號,121.549282,25.054236,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,敦化北路,201號(公車長庚醫院站),121.549352,25.056717,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,民生東路,四段133號,121.549561,25.057654,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,敦化北路,207號,121.549392,25.05802,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,敦化北路,311號,121.549867,25.058994,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,敦化北路,333巷口(公車富錦街口站),121.550248,25.059761,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,敦化北路,349號,121.550506,25.060386,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,敦化北路,單號(敦北公園),121.550968,25.061274,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,民權東路,三段181路(公車民權敦化路口站),121.548163,25.062054,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,民權東路,三段103巷口(公車民權復興路口站),121.544605,25.062169,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,民權東路,三段146號,121.547512,25.061917,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,民權東路,三段156路(公車民權敦化路口站),121.547769,25.062008,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,敦化北路,262號,121.550359,25.061442,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,敦化北路,214號,121.548764,25.057936,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,敦化北路,214號(公車民生敦化路口站),121.548993,25.05796,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,民生東路,三段135號,121.548636,25.057825,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,民生東路,三段117號(公車民生敦化路口站),121.546757,25.05786,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,民生東路,三段109號(公車西華飯店站),121.545318,25.057898,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,復興北路,337號,121.544368,25.060184,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,復興北路,367號,121.544427,25.06172,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,民權東路,四段公車民權東路口站,121.552015,25.06146,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,民權東路,四段36號,121.552819,25.061603,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,民權東路,四段雙號邊(停車格13號),121.554088,25.061706,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,光復北路,雙號邊(停車格8號),121.554632,25.061184,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,光復北路,雙號邊(停車格17號),121.554722,25.060648,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,光復北路,雙號邊(停車格28號),121.554898,25.059706,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,光復北路,雙號邊(科技服務大樓停車場出入口),121.555011,25.059092,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,民生東路,5段1號右側前,121.555355,25.058354,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,民生東路,5段25號左側前,121.55622,25.058423,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,民生東路,5段40號前,121.5575,25.05861111,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,民生東路,5段65號前,121.5580556,25.05861111,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,民生東路,5段82號右側前,121.559211,25.058473,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,民生東路,5段81號左側公車站前,121.5588889,25.05861111,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,民生東路,5段117號前,121.560319,25.058718,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,民生東路,5段119-2號前,121.5608333,25.05888889,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,民生東路,5段146號前,121.56203,25.058618,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,民生東路,5段120號右側前,121.5611111,25.05861111,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,民生東路,5段180號前,121.56306,25.058678,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,民生東路,5段163之1號左側前,121.563012,25.059075,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,民生東路,5段163之1號右側前,121.563144,25.059223,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,民生東路,5段191號左側前,121.5658333,25.05916667,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,民生東路,5段191號右側前,121.5655556,25.05916667,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,民生東路,5段244號前,121.566604,25.059063,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,民生東路,5段280號右側公園門口前,121.5683333,25.05916667,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,民生東路,5段165號前,121.563622,25.05923,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,民生東路,5段2號左側前,121.555395,25.058204,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,民權東路,4段123號右側前,121.558901,25.062392,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,民權東路,4段200號左側公車站前,121.562783,25.062722,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,民權東路,4段100號右側公車站前,121.5572222,25.06194444,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,民權東路,4段200號右側前,121.5627778,25.06277778,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,民權東路,5段32號前,121.564394,25.062906,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,塔悠路,351號右側民權大橋下,121.5683333,25.06388889,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,三民路,111號右側前,121.5633333,25.05805556,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,三民路,108之2號前,121.5636111,25.0575,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,三民路,137號前,121.5633333,25.06055556,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,民生東路,5段165號右側社區門口前,121.5630556,25.05944444,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,三民路,160號前,121.5630556,25.06138889,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,三民路,160號右側前,121.5633333,25.06194444,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,三民路,165號左側過巷口前,121.5633333,25.06166667,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,光復北路,富錦街口(營區大門前),121.555,25.06083333,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,光復北路,167號左側過巷口前,121.55547,25.05721,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,光復北路,199號右側富錦街口前,121.555,25.06027778,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,撫遠街,234號前,121.5680556,25.05944444,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,撫遠街,298號前,121.566794,25.060892,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,撫遠街,348號右側過巷口公車站前,121.5663889,25.06222222,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,塔悠路,89號前,121.570353,25.052093,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,塔悠路,157號左側公車站前,121.5697222,25.05472222,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,塔悠路,217號前,121.5686111,25.05888889,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,塔悠路,219號對面邊,121.5686111,25.05916667,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,延壽街,401號左側前,121.5572222,25.05638889,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,民生東路,5段203號前,121.5663889,25.05916667,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,民權東路,4段與新中街口,121.559829,25.062369,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,民權東路,5段1號右側公車站前,121.56402,25.063046,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,民權東路,4段100號對面邊公車站前,121.555828,25.062054,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,民權東路,4段123號左側公車站前,121.559987,25.062531,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,民權東路,4段100號左側公車站前,121.555743,25.061875,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,民權東路,五段與塔悠路口(西北角),121.568012,25.063677,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,民權東路,五段41號,121.567012,25.063543,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,民權東路,五段臨94號(後方),121.567619,25.06363,嚴禁投入家用垃圾，違者重罰新台幣6000元
